Найденные токены:
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
if -> 1
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
else -> 2
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
while -> 3
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
for -> 4
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
switch -> 5
whitespace -> 9
whitespace -> 9
whitespace -> 9
case -> 6
whitespace -> 9
whitespace -> 9
whitespace -> 9
break -> 7
whitespace -> 9
case -> 6
whitespace -> 9
whitespace -> 9
whitespace -> 9
break -> 7
whitespace -> 9
case -> 6
whitespace -> 9
whitespace -> 9
whitespace -> 9
break -> 7
whitespace -> 9
case -> 6
whitespace -> 9
whitespace -> 9
whitespace -> 9
break -> 7
whitespace -> 9
case -> 6
whitespace -> 9
whitespace -> 9
whitespace -> 9
break -> 7
whitespace -> 9
default -> 8
whitespace -> 9
whitespace -> 9
break -> 7
whitespace -> 9
whitespace -> 9
whitespace -> 9
whitespace -> 9
